Time,PressureIn,PressureOut,PressureDifference
2022-06-03 10:17:57.425993 START 
2022-06-03 10:17:58.418930,10.42,10.03,-0.39
2022-06-03 10:17:59.468210,8.56,8.37,-0.20
2022-06-03 10:18:00.499994,8.89,8.50,-0.39
2022-06-03 10:18:01.549015,8.04,7.81,-0.23
2022-06-03 10:18:02.004781 PAUSE 
2022-06-03 10:18:02.876957 START 
2022-06-03 10:18:03.620772,8.11,7.81,-0.29
2022-06-03 10:18:04.667112,7.91,7.65,-0.26
2022-06-03 10:18:05.698993,8.59,8.20,-0.39
2022-06-03 10:18:06.325956 PAUSE 
2022-06-03 10:18:07.273084 RECALIBRATE 
2022-06-03 10:18:11.663927 START 
2022-06-03 10:18:11.901881,0.41,0.31,-0.09
2022-06-03 10:18:12.946660,-0.54,-0.44,0.10
2022-06-03 10:18:13.981383,0.36,0.27,-0.09
2022-06-03 10:18:15.014425,-0.54,-0.44,0.10
2022-06-03 10:18:16.064396,0.00,0.00,0.00
2022-06-03 10:18:17.097532,0.00,-0.04,-0.04
2022-06-03 10:18:18.148492,-0.59,-0.53,0.05
2022-06-03 10:18:18.244911 PAUSE 
2022-06-03 10:18:19.136467 NEW SENSOR DELAY 
2022-06-03 10:18:26.394395 START 
2022-06-03 10:18:27.382235,0.05,0.18,0.13
2022-06-03 10:18:30.413003,0.09,0.22,0.13
2022-06-03 10:18:33.463203,0.81,0.75,-0.06
2022-06-03 10:18:36.503879,0.05,0.13,0.09
2022-06-03 10:18:39.544151,0.99,0.93,-0.06
2022-06-03 10:18:42.583779,0.09,0.18,0.09
2022-06-03 10:18:45.613637,0.23,0.31,0.09
2022-06-03 10:18:48.664036,0.72,0.67,-0.06
2022-06-03 10:18:51.694673,0.00,0.13,0.13
2022-06-03 10:18:54.740343,0.54,0.58,0.04
2022-06-03 10:18:57.779355,0.09,0.18,0.09
2022-06-03 10:19:00.818722,0.09,0.22,0.13
2022-06-03 10:19:03.861434,0.68,0.62,-0.05
2022-06-03 10:19:06.894659,0.14,0.22,0.09
2022-06-03 10:19:09.940054,0.63,0.62,-0.01
2022-06-03 10:19:12.979389,0.18,0.27,0.09
2022-06-03 10:19:16.018280,0.18,0.27,0.09
2022-06-03 10:19:19.056749,0.81,0.75,-0.06
2022-06-03 10:19:22.096450,0.05,0.13,0.09
2022-06-03 10:19:25.124518,0.90,0.89,-0.01
2022-06-03 10:19:28.171357,0.09,0.18,0.09
2022-06-03 10:19:31.212924,0.05,0.18,0.13
2022-06-03 10:19:34.256329,0.90,0.84,-0.06
2022-06-03 10:19:37.291806,0.05,0.13,0.09
2022-06-03 10:19:40.324696,0.68,0.71,0.03
2022-06-03 10:19:43.360426,0.27,0.31,0.04
2022-06-03 10:19:46.409162,0.00,0.13,0.13
2022-06-03 10:19:49.451862,0.86,0.84,-0.01
2022-06-03 10:19:52.473224,0.09,0.18,0.09
2022-06-03 10:19:55.520577,0.05,0.13,0.09
2022-06-03 10:19:58.568698,0.63,0.62,-0.01
2022-06-03 10:20:01.589927,0.05,0.13,0.09
2022-06-03 10:20:03.259238 PAUSE 
